derivation_id,output_element_id,output_type,derivation_kind,required_inputs,optional_inputs,min_required_count,enabled,notes
DRV_PHASE_OBJECTIVES,I_SHARED_PHASE_OBJECTIVES,information,data_to_information,D_SHARED_PLANNING_REVIEW_ORDER|D_SHARED_PHASE1_TARGET_50_CIV|D_SHARED_PHASE2_TARGET_40_CIV_20_VIP,,3,True,Shared phase objectives integration.
DRV_COLONY_BUILD_REQUIREMENTS,I_SHARED_COLONY_BUILD_REQUIREMENTS,information,data_to_information,D_SHARED_TEAM_MISSION|D_SHARED_BUILD_TYPES|D_SHARED_ANY_MEMBER_CAN_BUILD_ANY_STRUCTURE,,3,True,Shared build mission integration.
DRV_PLANNING_NORM,I_SHARED_PLANNING_NORM,information,data_to_information,D_SHARED_PLANNING_REVIEW_ORDER|D_SHARED_WHITEBOARD_AVAILABLE,,2,True,Planning/externalization norm integration.
DRV_RESOURCE_MOVEMENT_COST,I_SHARED_RESOURCE_MOVEMENT_COST,information,data_to_information,D_SHARED_RESOURCES_REQUIRE_TRANSPORT_TIME,,1,True,Abstracted logistics integration.
DRV_SECOND_ZONE_OPTION,I_SHARED_SECOND_ZONE_OPTION,information,data_to_information,D_SHARED_BRIDGE_OPTION_EXISTS,,1,True,Bridge/second-zone information.
DRV_ARCH_HOUSING_GEOMETRY,I_ARCH_HOUSING_GEOMETRY,information,data_to_information,D_ARCH_SPACING_6_STUDS|D_ARCH_STRUCTURES_ARE_INDIVIDUAL|D_ARCH_HEADROOM_1_BRICK|D_ARCH_AIRLOCK_SIZE|D_ARCH_HOUSE_ENCLOSED,,5,True,Housing geometry bundle.
DRV_ARCH_HOUSING_CAPACITY,I_ARCH_HOUSING_CAPACITY,information,data_to_information,D_ARCH_CAPACITY_PER_2X2,,1,True,Housing capacity bundle.
DRV_ARCH_HOUSING_AESTHETICS,I_ARCH_HOUSING_AESTHETICS,information,data_to_information,D_ARCH_FLOOR_SINGLE_COLOR|D_ARCH_WALLS_CEILING_DIFF_COLOR|D_ARCH_VIP_FLOOR_PINK|D_ARCH_DIFF_FLOORS_SEPARATE_HOUSES,,4,True,Housing aesthetics bundle.
DRV_ARCH_HOUSING_DEPENDENCIES,I_ARCH_HOUSING_DEPENDENCIES,information,data_to_information,D_ARCH_HOUSE_NEEDS_FOOD_AND_WATER,,1,True,Housing dependencies bundle.
DRV_BOT_SOIL_COMPOSITION,I_BOT_SOIL_COMPOSITION,information,data_to_information,D_BOT_SOIL_BROWN_2X2|D_BOT_SOIL_GREEN_2X2|D_BOT_SOIL_IN_GREENHOUSE,,3,True,Soil composition bundle.
DRV_BOT_GREENHOUSE_GEOMETRY,I_BOT_GREENHOUSE_GEOMETRY,information,data_to_information,D_BOT_GREENHOUSE_GLASS_CEILING|D_BOT_GREENHOUSE_BREEZEWAY|D_BOT_GREENHOUSE_AIR_GAP|D_BOT_SOIL_IN_GREENHOUSE,,4,True,Greenhouse geometry bundle.
DRV_BOT_GREENHOUSE_CAPACITY,I_BOT_GREENHOUSE_CAPACITY,information,data_to_information,D_BOT_SOIL_SUPPORT_CAPACITY,,1,True,Greenhouse capacity bundle.
DRV_BOT_GREENHOUSE_DEPENDENCIES,I_BOT_GREENHOUSE_DEPENDENCIES,information,data_to_information,D_BOT_GREENHOUSE_NEEDS_WATER|D_BOT_GREENHOUSE_CONNECTED_TO_HOUSING,,2,True,Greenhouse dependency bundle.
DRV_ENG_WATER_CAPACITY,I_ENG_WATER_CAPACITY,information,data_to_information,D_ENG_WATERGEN_60_UNITS|D_ENG_30CIV_60_WATER|D_ENG_20VIP_60_WATER|D_ENG_10SOIL_60_WATER,,4,True,Water capacity bundle.
DRV_ENG_WATERGEN_GEOMETRY,I_ENG_WATERGEN_GEOMETRY,information,data_to_information,D_ENG_WATERGEN_GRAY_FOUNDATION|D_ENG_WATERGEN_BLUE_ON_GRAY|D_ENG_WATERGEN_TWO_2X2_STACKED_2_HIGH|D_ENG_WATERGEN_CAPPED,,4,True,Water generator geometry bundle.
DRV_ENG_CONNECTOR_RULES,I_ENG_CONNECTOR_RULES,information,data_to_information,D_ENG_FOOD_CONNECTOR_GREENHOUSE_TO_HOUSING|D_ENG_WATER_CONNECTOR_GENERATOR_TO_HOUSING_OR_GREENHOUSE,,2,True,Connector bundle.
DRV_ENG_DISTRIBUTION_TOPOLOGY,I_ENG_DISTRIBUTION_TOPOLOGY,information,data_to_information,D_ENG_WATERGEN_MAX_2_STRUCTURES|D_ENG_WATER_SPLIT_EVENLY|D_ENG_DIRECT_CONNECTION_ONLY,,3,True,Distribution topology bundle.
DRV_COLONY_SUPPORT_KNOWLEDGE,K_COLONY_SURVIVAL_REQUIRES_HOUSING_FOOD_WATER,knowledge,information_to_knowledge,I_SHARED_COLONY_BUILD_REQUIREMENTS|I_ARCH_HOUSING_DEPENDENCIES|I_BOT_GREENHOUSE_DEPENDENCIES|I_ENG_CONNECTOR_RULES,,3,True,Cross-role survival integration.
DRV_PHASE1_TARGET_KNOWLEDGE,K_PHASE1_SUPPORT_TARGET,knowledge,information_to_knowledge,I_SHARED_PHASE_OBJECTIVES,,1,True,Phase 1 target knowledge.
DRV_PHASE2_TARGET_KNOWLEDGE,K_PHASE2_SUPPORT_TARGET,knowledge,information_to_knowledge,I_SHARED_PHASE_OBJECTIVES,,1,True,Phase 2 target knowledge.
DRV_HOUSE_VALIDITY_KNOWLEDGE,K_HOUSE_VALIDITY_REQUIREMENTS,knowledge,information_to_knowledge,I_ARCH_HOUSING_GEOMETRY|I_ARCH_HOUSING_CAPACITY|I_ARCH_HOUSING_AESTHETICS,,3,True,Valid house knowledge.
DRV_HOUSE_SUPPORT_KNOWLEDGE,K_HOUSE_SUPPORT_DEPENDENCIES,knowledge,information_to_knowledge,I_ARCH_HOUSING_DEPENDENCIES|I_ENG_CONNECTOR_RULES,,2,True,House support dependency knowledge.
DRV_GREENHOUSE_VALIDITY_KNOWLEDGE,K_GREENHOUSE_VALIDITY_REQUIREMENTS,knowledge,information_to_knowledge,I_BOT_SOIL_COMPOSITION|I_BOT_GREENHOUSE_GEOMETRY|I_BOT_GREENHOUSE_CAPACITY,,3,True,Valid greenhouse knowledge.
DRV_GREENHOUSE_SUPPORT_KNOWLEDGE,K_GREENHOUSE_SUPPORT_DEPENDENCIES,knowledge,information_to_knowledge,I_BOT_GREENHOUSE_DEPENDENCIES|I_ENG_CONNECTOR_RULES,,2,True,Greenhouse support dependency knowledge.
DRV_WATERGEN_VALIDITY_KNOWLEDGE,K_WATERGEN_VALIDITY_REQUIREMENTS,knowledge,information_to_knowledge,I_ENG_WATERGEN_GEOMETRY|I_ENG_WATER_CAPACITY|I_ENG_DISTRIBUTION_TOPOLOGY,,3,True,Valid water generator knowledge.
DRV_WATER_CAPACITY_MODEL,K_WATER_SUPPORT_CAPACITY_MODEL,knowledge,information_to_knowledge,I_ENG_WATER_CAPACITY|I_ENG_DISTRIBUTION_TOPOLOGY,,2,True,Water support capacity knowledge.
DRV_CONNECTORS_ENABLE_FLOW,K_CONNECTORS_ENABLE_RESOURCE_FLOW,knowledge,information_to_knowledge,I_ENG_CONNECTOR_RULES|I_ARCH_HOUSING_DEPENDENCIES|I_BOT_GREENHOUSE_DEPENDENCIES,,2,True,Connector and dependency integration.
DRV_DIRECT_CONNECTION_KNOWLEDGE,K_DIRECT_CONNECTION_MATTERS,knowledge,information_to_knowledge,I_ENG_DISTRIBUTION_TOPOLOGY,,1,True,Direct connection knowledge.
DRV_LAYOUT_SPACING_KNOWLEDGE,K_LAYOUT_MUST_RESPECT_SPACING,knowledge,information_to_knowledge,I_ARCH_HOUSING_GEOMETRY,,1,True,Spacing/layout knowledge.
DRV_SECOND_ZONE_KNOWLEDGE,K_SECOND_ZONE_CAN_EXPAND_OPTIONS,knowledge,information_to_knowledge,I_SHARED_SECOND_ZONE_OPTION|I_SHARED_RESOURCE_MOVEMENT_COST,,2,True,Bridge/second-zone option knowledge.
DRV_SHARED_PLANNING_KNOWLEDGE,K_SHARED_PLANNING_AND_EXTERNALIZATION_HELP,knowledge,information_to_knowledge,I_SHARED_PLANNING_NORM|D_SHARED_WHITEBOARD_AVAILABLE,,2,True,Coordination/externalization knowledge.
